20:09:57. INFO  manager.ApplicationManager - Config file is -->config2
20:10:09. INFO  manager.ApplicationManager - Base url is -->https://trello.com
20:10:11. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: button[data-testid='header-member-menu-button']
20:10:16. INFO  manager.MyListener - The element with locator --->By.cssSelector: button[data-testid='header-member-menu-button']was found
20:10:16. INFO  manager.ApplicationManager - I used email -->hatum.testing@gmail.com
20:10:16. INFO  manager.ApplicationManager - I used password -->Hatum21$
20:10:18. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: a[href='/login']
20:10:18. INFO  manager.MyListener - The element with locator --->By.cssSelector: a[href='/login']was found
20:10:20. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: button.username-change
20:10:20. INFO  manager.MyListener - The element with locator --->By.cssSelector: button.username-changewas found
20:10:20. INFO  manager.MyListener - Start search element by locator --->By.name: user
20:10:20. INFO  manager.MyListener - The element with locator --->By.name: userwas found
20:10:21. INFO  manager.MyListener - Start search element by locator --->By.id: login
20:10:21. INFO  manager.MyListener - The element with locator --->By.id: loginwas found
20:10:23. INFO  manager.MyListener - Start search element by locator --->By.id: password
20:10:23. INFO  manager.MyListener - The element with locator --->By.id: passwordwas found
20:10:24. INFO  manager.MyListener - Start search element by locator --->By.id: login-submit
20:10:24. INFO  manager.MyListener - The element with locator --->By.id: login-submitwas found
20:10:24. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: button[data-testid='header-member-menu-button']
20:10:33. INFO  manager.MyListener - The element with locator --->By.cssSelector: button[data-testid='header-member-menu-button']was found
20:10:33. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: button[data-testid='header-member-menu-button']
20:10:33. INFO  manager.MyListener - The element with locator --->By.cssSelector: button[data-testid='header-member-menu-button']was found
20:10:33. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: a[data-testid='account-menu-profile']
20:10:33. INFO  manager.MyListener - The element with locator --->By.cssSelector: a[data-testid='account-menu-profile']was found
20:10:33. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[text()='Atlassian profile']
20:10:34. INFO  manager.MyListener - The element with locator --->By.xpath: //a[text()='Atlassian profile']was found
20:10:36. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [data-test-selector='profile-hover-info']
20:10:38. INFO  manager.MyListener - The element with locator --->By.cssSelector: [data-test-selector='profile-hover-info']was found
20:10:39. INFO  manager.MyListener - Start search element by locator --->By.xpath: //*[text()='Change profile photo']
20:10:39. INFO  manager.MyListener - The element with locator --->By.xpath: //*[text()='Change profile photo']was found
20:10:39. INFO  manager.MyListener - Start search element by locator --->By.id: image-input
20:10:39. INFO  manager.MyListener - The element with locator --->By.id: image-inputwas found
20:10:39. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button/span[text()='Upload']
20:10:40. INFO  manager.MyListener - The element with locator --->By.xpath: //button/span[text()='Upload']was found
20:10:40. INFO  manager.MyListener - Start search element by locator --->By.xpath: //span[text()='Avatar added']
20:10:43. INFO  manager.MyListener - The element with locator --->By.xpath: //span[text()='Avatar added']was found
20:10:43. INFO  manager.MyListener - Start search element by locator --->By.cssSelector: [aria-label='Back to home']
20:10:43. INFO  manager.MyListener - The element with locator --->By.cssSelector: [aria-label='Back to home']was found
